"","X.","Player","Club","Po","GP","YC","YCG","RC","RCG","SC","C1H","C2H","F","OF"
"1","1st","Milan Petržela","SLO","M",469,72,"0,2",4,"0,0",2148,35,41,375,68
"2","2nd","Stanislav Vlček","","F",436,37,"0,1",1,"0,0",3675,15,23,0,0
"3","3rd","Václav Procházka","ZLN","D",436,92,"0,2",6,"0,0",2642,31,67,237,6
"4","4th","Rudolf Otepka","","M",432,86,"0,2",8,"0,0",1539,21,73,0,0
"5","5th","Pavel Horváth","","M",426,97,"0,2",5,"0,0",2018,37,65,34,0
"6","6th","David Lafata","","F",418,52,"0,1",1,"0,0",3130,20,33,116,65
"7","7th","Josef Jindřišek","BOH","M",414,42,"0,1",0,"0,0",2293,16,26,272,1
"8","8th","Libor Došek","","F",407,81,"0,2",1,"0,0",1225,25,57,121,71
"9","9th","David Limberský","","D",406,89,"0,2",4,"0,0",1480,34,59,202,6
"10","10th","Miroslav Holeňák","","D",404,69,"0,2",4,"0,0",1617,26,47,0,0
"11","11th","Marek Kulič","","F",389,69,"0,2",5,"0,0",2282,18,56,3,0
"12","12th","Marek Matějovský","MBL","M",389,99,"0,3",3,"0,0",1376,48,54,342,3
"13","13th","Pavel Verbíř","","M",379,64,"0,2",5,"0,0",1412,32,37,0,0
"14","14th","Martin Fillo","ZLN","D",379,70,"0,2",5,"0,0",1425,28,47,390,34
"15","15th","Jozef Weber","","M",370,58,"0,2",2,"0,0",1547,21,39,0,0
"16","16th","Marek Zúbek","","M",358,61,"0,2",3,"0,0",2908,28,36,0,0
"17","17th","Ondřej Kúdela","SLA","D",354,52,"0,1",3,"0,0",1882,16,39,238,4
"18","18th","Patrik Siegl","","M",350,59,"0,2",2,"0,0",1832,24,37,0,0
"19","19th","Richard Dostálek","","M",350,57,"0,2",4,"0,0",2500,33,28,0,0
"20","20th","Tomáš Janů","","D",349,40,"0,1",2,"0,0",3470,13,29,0,0
"21","21st","Jiří Fleišman","FCB","D",347,66,"0,2",3,"0,0",1933,16,53,287,7
"22","22nd","Tomáš Hunal","","D",346,89,"0,3",7,"0,0",1941,42,54,0,0
"23","23rd","Jan Rezek","","M",344,60,"0,2",1,"0,0",1662,25,37,267,42
"24","24th","Tomáš Vondrášek","TEP","D",343,51,"0,1",2,"0,0",1751,10,44,231,15
"25","25th","Luděk Zelenka","","F",342,53,"0,2",1,"0,0",1707,25,29,0,0
"26","26th","Lukáš Pleško","","D",341,51,"0,1",2,"0,0",2132,17,36,6,0
"27","27th","Milan Škoda","MBL","F",337,49,"0,1",0,"0,0",3133,16,33,275,116
"28","28th","Martin Lukeš","","M",336,52,"0,2",4,"0,0",1346,18,38,6,1
"29","29th","Jan Navrátil","OLO","M",336,55,"0,2",1,"0,0",2183,19,37,378,48
"30","30th","Tomáš Pilík","PRI","M",335,51,"0,2",2,"0,0",1752,16,37,273,27
"31","31st","Jan Kovařík","BOH","M",334,28,"0,1",1,"0,0",2753,6,24,129,57
"32","32nd","Tomáš Hořava","","M",329,49,"0,1",1,"0,0",1620,17,33,231,2
"33","33rd","Tomáš Hübschman","FKJ","M",325,43,"0,1",0,"0,0",1995,10,33,183,9
"34","34th","Radim Kučera","","D",324,28,"0,1",0,"0,0",5738,11,17,0,0
"35","35th","Martin Müller","","D",322,43,"0,1",4,"0,0",1801,24,23,0,0
"36","36th","Jakub Řezníček","BRN","F",321,54,"0,2",1,"0,0",1350,19,36,330,206
"37","37th","Michal Doležal","","M",320,32,"0,1",0,"0,0",2230,11,21,0,0
"38","38th","Štěpán Vachoušek","","M",317,48,"0,2",1,"0,0",2088,14,35,93,13
"39","39th","Radim Řezník","PLZ","D",315,44,"0,1",3,"0,0",2296,9,38,228,30
"40","40th","Petr Papoušek","","M",312,26,"0,1",0,"0,0",2852,6,20,0,0
"41","41st","Jan Nezmar","","F",311,30,"0,1",4,"0,0",6021,13,21,0,0
"42","42nd","Horst Siegl","","F",310,37,"0,1",0,"0,0",1663,15,22,0,0
"43","43rd","Karel Piták","","M",310,50,"0,2",3,"0,0",2096,20,33,81,8
"44","44th","Daniel Kolář","","M",310,34,"0,1",0,"0,0",2489,13,21,133,39
"45","45th","Petr Švancara","","F",309,54,"0,2",2,"0,0",1433,22,34,13,5
"46","46th","David Hubáček","","D",309,46,"0,1",2,"0,0",1926,17,31,24,0
"47","47th","Jakub Mareš","TEP","F",309,69,"0,2",4,"0,0",1079,24,49,255,112
"48","48th","Roman Hubník","OLO","D",307,52,"0,2",4,"0,0",1533,26,30,175,4
"49","49th","David Bartek","BOH","D",307,36,"0,1",2,"0,0",2218,23,16,182,21
"50","50th","Lukáš Jarolím","","M",306,44,"0,1",1,"0,0",1674,21,24,0,0
