"","X.","Player","Club","Po","GP","YC","YCG","RC","RCG","SC","C1H","C2H","F","OF","season"
"1","1st","Michal Hubník","","F",19,4,"0,2",2,"0,1",611,2,4,0,0,2010
"2","2nd","Richard Dostálek","","M",27,5,"0,2",1,"0,0",887,1,5,0,0,2010
"3","3rd","Miroslav Obermajer","","D",6,2,"0,3",1,"0,2",230,2,1,0,0,2010
"4","4th","Marek Kincl","","F",20,7,"0,4",1,"0,1",269,3,5,0,0,2010
"5","5th","David Zoubek","","D",27,2,"0,1",1,"0,0",1016,1,2,0,0,2010
"6","6th","Jiří Kaufman","","M",24,2,"0,1",1,"0,0",662,0,3,0,0,2010
"7","7th","Jiří Rychlík","","D",28,6,"0,2",1,"0,0",571,2,5,0,0,2010
"8","8th","Vít Turtenwald","","D",13,3,"0,2",1,"0,1",545,3,1,0,0,2010
"9","9th","Adrian Rolko","MBL","D",23,8,"0,3",1,"0,0",538,2,7,0,0,2010
"10","10th","Lukáš Hartig","","F",18,6,"0,3",1,"0,1",402,3,4,0,0,2010
"11","11th","Vlastimil Vidlička","","D",27,5,"0,2",1,"0,0",815,1,5,0,0,2010
"12","12th","David Bystroň","","D",24,5,"0,2",1,"0,0",1019,1,5,0,0,2010
"13","13th","Roman Dobeš","","M",24,3,"0,1",1,"0,0",833,0,4,0,0,2010
"14","14th","Aleš Škerle","","D",23,6,"0,3",1,"0,0",661,4,3,0,0,2010
"15","15th","František Rajtoral","","D",29,3,"0,1",1,"0,0",1277,2,2,0,0,2010
"16","16th","David Brunclík","","M",5,2,"0,4",1,"0,2",182,0,3,0,0,2010
"17","17th","Daniel Huňa","","F",24,4,"0,2",1,"0,0",1035,0,5,0,0,2010
"18","18th","Jakub Mareš","TEP","F",13,3,"0,2",1,"0,1",463,2,2,0,0,2010
"19","19th","Ondřej Kúdela","MBL","D",25,6,"0,2",1,"0,0",446,2,5,0,0,2010
"20","20th","David Limberský","","D",26,11,"0,4",1,"0,0",394,2,10,0,0,2010
"21","21st","Jan Procházka","","D",28,7,"0,3",1,"0,0",573,1,7,0,0,2010
"22","22nd","Marek Kaščák","","M",21,4,"0,2",1,"0,0",568,1,4,0,0,2010
"23","23rd","Lukáš Vácha","","M",25,5,"0,2",1,"0,0",577,2,4,0,0,2010
"24","24th","Radim Řezník","FCB","D",25,3,"0,1",1,"0,0",1101,0,4,0,0,2010
"25","25th","Zdeněk Šmejkal","","D",25,10,"0,4",1,"0,0",457,3,8,0,0,2010
"26","26th","Jan Lecjaks","","D",22,3,"0,1",1,"0,0",438,4,0,0,0,2010
"27","27th","Antonín Holub","","M",24,6,"0,3",1,"0,0",496,4,3,0,0,2010
"28","28th","Jakub Štochl","","D",28,4,"0,1",1,"0,0",907,1,4,0,0,2010
"29","29th","Pavel Macháček","","D",25,6,"0,2",1,"0,0",429,0,7,0,0,2010
"30","30th","Tomáš Fabián","MBL","D",10,2,"0,2",1,"0,1",524,0,3,0,0,2010
"31","31st","Dominik Kraut","FCB","F",13,1,"0,1",1,"0,1",92,0,2,0,0,2010
"32","32nd","Pavel Dreksa","OLO","D",23,7,"0,3",1,"0,0",447,2,6,0,0,2010
"33","33rd","Fernando Neves","FCB","D",26,7,"0,3",1,"0,0",844,4,4,0,0,2010
"34","34th","Renáto Kelić","","D",18,2,"0,1",1,"0,1",457,1,2,0,0,2010
"35","35th","Dalibor Slezák","","F",8,1,"0,1",0,"0,0",257,0,1,0,0,2010
"36","36th","Vladimír Šmicer","","M",3,1,"0,3",0,"0,0",90,0,1,0,0,2010
"37","37th","Patrik Berger","","M",2,0,"0,0",0,"0,0",180,0,0,0,0,2010
"38","38th","Stanislav Vlček","","F",23,2,"0,1",0,"0,0",1030,1,1,0,0,2010
"39","39th","Tomáš Řepka","","D",28,7,"0,3",0,"0,0",732,5,2,0,0,2010
"40","40th","Martin Müller","","D",12,1,"0,1",0,"0,0",690,1,0,0,0,2010
"41","41st","Miroslav Holeňák","","D",24,4,"0,2",0,"0,0",1110,1,3,0,0,2010
"42","42nd","Pavel Horváth","","M",28,6,"0,2",0,"0,0",845,2,4,0,0,2010
"43","43rd","Libor Sionko","","M",14,2,"0,1",0,"0,0",546,1,1,0,0,2010
"44","44th","Daniel Tchuř","","D",15,3,"0,2",0,"0,0",598,1,2,0,0,2010
"45","45th","Marek Smola","","D",1,0,"0,0",0,"0,0",37,0,0,0,0,2010
"46","46th","Tomáš Hunal","","D",19,4,"0,2",0,"0,0",411,1,3,0,0,2010
"47","47th","Erich Brabec","","D",13,0,"0,0",0,"0,0",1140,0,0,0,0,2010
"48","48th","Luděk Zelenka","","F",8,0,"0,0",0,"0,0",260,0,0,0,0,2010
"49","49th","Pavel Drsek","","D",29,3,"0,1",0,"0,0",1653,1,2,0,0,2010
"50","50th","Pavel Němčický","","D",23,4,"0,2",0,"0,0",573,2,2,0,0,2010
"51","1st","Richard Dostálek","","M",26,3,"0,1",1,"0,0",999,3,1,0,0,2011
"52","2nd","Pavel Horváth","","M",26,6,"0,2",1,"0,0",1154,3,4,0,0,2011
"53","3rd","Tomáš Janů","","D",12,2,"0,2",1,"0,1",477,2,1,0,0,2011
"54","4th","Jiří Rychlík","","D",10,2,"0,2",1,"0,1",496,2,1,0,0,2011
"55","5th","Josef Laštovka","","D",26,4,"0,2",1,"0,0",752,2,3,0,0,2011
"56","6th","Lukáš Hartig","","F",22,7,"0,3",1,"0,0",399,3,5,0,0,2011
"57","7th","Tomáš Polách","","M",15,2,"0,1",1,"0,1",461,1,2,0,0,2011
"58","8th","Adam Varadi","","F",25,7,"0,3",1,"0,0",721,1,7,0,0,2011
"59","9th","Jakub Navrátil","PLZ","D",16,3,"0,2",1,"0,1",833,2,2,0,0,2011
"60","10th","Vít Vrtělka","","M",23,6,"0,3",1,"0,0",401,3,4,0,0,2011
"61","11th","Tomáš Pilík","PRI","M",23,4,"0,2",1,"0,0",575,2,3,0,0,2011
"62","12th","Michal Klesa","","M",26,1,"0,0",1,"0,0",876,0,2,0,0,2011
"63","13th","Jiří Kladrubský","ACS","D",23,4,"0,2",1,"0,0",1233,1,4,0,0,2011
"64","14th","Lukáš Opiela","","M",25,8,"0,3",1,"0,0",603,2,7,0,0,2011
"65","15th","Marek Jungr","","M",9,1,"0,1",1,"0,1",261,1,1,0,0,2011
"66","16th","Vlastimil Stožický","","M",20,4,"0,2",1,"0,1",288,2,3,0,0,2011
"67","17th","Lukáš Kubáň","","D",25,7,"0,3",1,"0,0",422,1,7,0,0,2011
"68","18th","Marcel Gecov","","M",25,6,"0,2",1,"0,0",677,2,5,0,0,2011
"69","19th","Vít Beneš","FKJ","D",16,2,"0,1",1,"0,1",630,0,3,0,0,2011
"70","20th","Zdeněk Ondrášek","CEB","F",29,7,"0,2",1,"0,0",445,2,6,0,0,2011
"71","21st","Tomáš Stráský","","F",21,3,"0,1",1,"0,0",798,1,3,0,0,2011
